idx,date,id,fatalities
120,7/30/2021,Ab Kamari,62
121,7/31/2021,Ab Kamari,62
122,8/1/2021,Ab Kamari,62
123,8/2/2021,Ab Kamari,62
124,8/3/2021,Ab Kamari,62
125,8/4/2021,Ab Kamari,62
126,8/5/2021,Ab Kamari,62
127,8/6/2021,Ab Kamari,62
128,8/7/2021,Ab Kamari,62
129,8/8/2021,Ab Kamari,62
130,8/9/2021,Ab Kamari,62
131,8/10/2021,Ab Kamari,62
132,8/11/2021,Ab Kamari,62
133,8/12/2021,Ab Kamari,62
134,8/13/2021,Ab Kamari,62
135,8/14/2021,Ab Kamari,62
136,8/15/2021,Ab Kamari,62
137,8/16/2021,Ab Kamari,62
138,8/17/2021,Ab Kamari,62
139,8/18/2021,Ab Kamari,62
140,8/19/2021,Ab Kamari,62
141,8/20/2021,Ab Kamari,62
142,8/21/2021,Ab Kamari,62
143,8/22/2021,Ab Kamari,62
144,8/23/2021,Ab Kamari,62
145,8/24/2021,Ab Kamari,62
146,8/25/2021,Ab Kamari,62
147,8/26/2021,Ab Kamari,62
148,8/27/2021,Ab Kamari,62
149,8/28/2021,Ab Kamari,62
150,8/29/2021,Ab Kamari,62
151,8/30/2021,Ab Kamari,62
152,8/31/2021,Ab Kamari,62
0,4/1/2021,Achin,0
1,4/2/2021,Achin,0
2,4/3/2021,Achin,0
3,4/4/2021,Achin,0
4,4/5/2021,Achin,0
5,4/6/2021,Achin,0
6,4/7/2021,Achin,0
7,4/8/2021,Achin,0
8,4/9/2021,Achin,0
9,4/10/2021,Achin,0
10,4/11/2021,Achin,0
11,4/12/2021,Achin,0
12,4/13/2021,Achin,0
13,4/14/2021,Achin,0
14,4/15/2021,Achin,0
15,4/16/2021,Achin,0
16,4/17/2021,Achin,0
17,4/18/2021,Achin,0
18,4/19/2021,Achin,0
19,4/20/2021,Achin,0
20,4/21/2021,Achin,0
21,4/22/2021,Achin,0
22,4/23/2021,Achin,5
23,4/24/2021,Achin,5
24,4/25/2021,Achin,5
25,4/26/2021,Achin,5
26,4/27/2021,Achin,5
27,4/28/2021,Achin,5
28,4/29/2021,Achin,5
29,4/30/2021,Achin,5
30,5/1/2021,Achin,5
31,5/2/2021,Achin,5
32,5/3/2021,Achin,5
33,5/4/2021,Achin,5
34,5/5/2021,Achin,5
35,5/6/2021,Achin,5
36,5/7/2021,Achin,5
37,5/8/2021,Achin,5
38,5/9/2021,Achin,5
39,5/10/2021,Achin,5
40,5/11/2021,Achin,5
41,5/12/2021,Achin,5
42,5/13/2021,Achin,5
43,5/14/2021,Achin,5
44,5/15/2021,Achin,5
45,5/16/2021,Achin,5
46,5/17/2021,Achin,5
47,5/18/2021,Achin,5
48,5/19/2021,Achin,5
49,5/20/2021,Achin,5
50,5/21/2021,Achin,5
51,5/22/2021,Achin,5
52,5/23/2021,Achin,20
53,5/24/2021,Achin,41
54,5/25/2021,Achin,41
55,5/26/2021,Achin,41
56,5/27/2021,Achin,41
57,5/28/2021,Achin,52
58,5/29/2021,Achin,59
59,5/30/2021,Achin,66
60,5/31/2021,Achin,73
61,6/1/2021,Achin,73
62,6/2/2021,Achin,73
63,6/3/2021,Achin,73
64,6/4/2021,Achin,73
65,6/5/2021,Achin,73
66,6/6/2021,Achin,73
67,6/7/2021,Achin,73
68,6/8/2021,Achin,73
69,6/9/2021,Achin,73
70,6/10/2021,Achin,73
71,6/11/2021,Achin,73
72,6/12/2021,Achin,90
73,6/13/2021,Achin,90
74,6/14/2021,Achin,90
75,6/15/2021,Achin,90
76,6/16/2021,Achin,90
77,6/17/2021,Achin,93
78,6/18/2021,Achin,93
79,6/19/2021,Achin,93
80,6/20/2021,Achin,93
81,6/21/2021,Achin,133
82,6/22/2021,Achin,133
83,6/23/2021,Achin,133
84,6/24/2021,Achin,133
85,6/25/2021,Achin,133
86,6/26/2021,Achin,133
87,6/27/2021,Achin,139
88,6/28/2021,Achin,139
89,6/29/2021,Achin,145
90,6/30/2021,Achin,145
91,7/1/2021,Achin,145
92,7/2/2021,Achin,145
93,7/3/2021,Achin,145
94,7/4/2021,Achin,145
95,7/5/2021,Achin,145
96,7/6/2021,Achin,145
97,7/7/2021,Achin,145
98,7/8/2021,Achin,145
99,7/9/2021,Achin,145
100,7/10/2021,Achin,145
101,7/11/2021,Achin,145
102,7/12/2021,Achin,145
103,7/13/2021,Achin,145
104,7/14/2021,Achin,145
105,7/15/2021,Achin,145
106,7/16/2021,Achin,159
107,7/17/2021,Achin,159
108,7/18/2021,Achin,159
109,7/19/2021,Achin,159
110,7/20/2021,Achin,159
111,7/21/2021,Achin,159
112,7/22/2021,Achin,159
113,7/23/2021,Achin,159
114,7/24/2021,Achin,159
115,7/25/2021,Achin,159
116,7/26/2021,Achin,159
117,7/27/2021,Achin,159
118,7/28/2021,Achin,159
119,7/29/2021,Achin,159
120,7/30/2021,Achin,159
121,7/31/2021,Achin,159
122,8/1/2021,Achin,162
123,8/2/2021,Achin,177
124,8/3/2021,Achin,177
125,8/4/2021,Achin,177
126,8/5/2021,Achin,182
127,8/6/2021,Achin,182
128,8/7/2021,Achin,182
129,8/8/2021,Achin,182
130,8/9/2021,Achin,182
131,8/10/2021,Achin,182
132,8/11/2021,Achin,182
133,8/12/2021,Achin,182
134,8/13/2021,Achin,182
135,8/14/2021,Achin,182
136,8/15/2021,Achin,182
137,8/16/2021,Achin,182
138,8/17/2021,Achin,182
139,8/18/2021,Achin,182
140,8/19/2021,Achin,182
141,8/20/2021,Achin,182
142,8/21/2021,Achin,182
143,8/22/2021,Achin,182
144,8/23/2021,Achin,182
145,8/24/2021,Achin,182
146,8/25/2021,Achin,182
147,8/26/2021,Achin,182
148,8/27/2021,Achin,182
149,8/28/2021,Achin,182
150,8/29/2021,Achin,182
151,8/30/2021,Achin,182
152,8/31/2021,Achin,182
0,4/1/2021,Adraskan,0
1,4/2/2021,Adraskan,0
2,4/3/2021,Adraskan,0
3,4/4/2021,Adraskan,1
4,4/5/2021,Adraskan,1
5,4/6/2021,Adraskan,1
6,4/7/2021,Adraskan,1
7,4/8/2021,Adraskan,1
8,4/9/2021,Adraskan,1
9,4/10/2021,Adraskan,1
10,4/11/2021,Adraskan,1
11,4/12/2021,Adraskan,1
12,4/13/2021,Adraskan,1
13,4/14/2021,Adraskan,1
14,4/15/2021,Adraskan,1
15,4/16/2021,Adraskan,1
16,4/17/2021,Adraskan,1
17,4/18/2021,Adraskan,1
18,4/19/2021,Adraskan,1
19,4/20/2021,Adraskan,1
20,4/21/2021,Adraskan,1
21,4/22/2021,Adraskan,1
22,4/23/2021,Adraskan,1
23,4/24/2021,Adraskan,1
24,4/25/2021,Adraskan,1
25,4/26/2021,Adraskan,1
26,4/27/2021,Adraskan,1
27,4/28/2021,Adraskan,1
28,4/29/2021,Adraskan,1
29,4/30/2021,Adraskan,1
30,5/1/2021,Adraskan,1
