id,date,taliban_control,idx
Aliabad,7/12/2021,0,22
Aliabad,7/13/2021,0,23
Aliabad,7/14/2021,0,24
Aliabad,7/18/2021,0,25
Aliabad,7/22/2021,0,26
Aliabad,7/25/2021,0,27
Aliabad,8/6/2021,0,28
Aliabad,8/7/2021,0,29
Aliabad,8/8/2021,0,30
Aliabad,8/10/2021,0,31
Aliabad,8/11/2021,0,32
Aliabad,8/12/2021,0,33
Aliabad,8/13/2021,0,34
Aliabad,8/14/2021,0,35
Aliabad,8/16/2021,0,36
Alingar,5/11/2021,0,0
Alingar,5/12/2021,0,1
Alingar,6/7/2021,0,2
Alingar,6/8/2021,0,3
Alingar,6/12/2021,0,4
Alingar,6/13/2021,0,5
Alingar,6/14/2021,0,6
Alingar,6/15/2021,0,7
Alingar,6/20/2021,0,8
Alingar,6/21/2021,0,9
Alingar,6/23/2021,0,10
Alingar,6/24/2021,0,11
Alingar,6/25/2021,0,12
Alingar,6/27/2021,0,13
Alingar,6/29/2021,0,14
Alingar,6/30/2021,0,15
Alingar,7/3/2021,0,16
Alingar,7/4/2021,0,17
Alingar,7/5/2021,0,18
Alingar,7/6/2021,0,19
Alingar,7/10/2021,0,20
Alingar,7/11/2021,0,21
Alingar,7/12/2021,0,22
Alingar,7/13/2021,0,23
Alingar,7/14/2021,0,24
Alingar,7/18/2021,0,25
Alingar,7/22/2021,0,26
Alingar,7/25/2021,0,27
Alingar,8/6/2021,0,28
Alingar,8/7/2021,0,29
Alingar,8/8/2021,0,30
Alingar,8/10/2021,0,31
Alingar,8/11/2021,0,32
Alingar,8/12/2021,0,33
Alingar,8/13/2021,0,34
Alingar,8/14/2021,0,35
Alingar,8/16/2021,0,36
Alishing,5/11/2021,0,0
Alishing,5/12/2021,0,1
Alishing,6/7/2021,0,2
Alishing,6/8/2021,0,3
Alishing,6/12/2021,0,4
Alishing,6/13/2021,0,5
Alishing,6/14/2021,0,6
Alishing,6/15/2021,0,7
Alishing,6/20/2021,0,8
Alishing,6/21/2021,0,9
Alishing,6/23/2021,0,10
Alishing,6/24/2021,0,11
Alishing,6/25/2021,0,12
Alishing,6/27/2021,0,13
Alishing,6/29/2021,0,14
Alishing,6/30/2021,0,15
Alishing,7/3/2021,0,16
Alishing,7/4/2021,0,17
Alishing,7/5/2021,0,18
Alishing,7/6/2021,0,19
Alishing,7/10/2021,1,20
Alishing,7/11/2021,1,21
Alishing,7/12/2021,1,22
Alishing,7/13/2021,1,23
Alishing,7/14/2021,1,24
Alishing,7/18/2021,1,25
Alishing,7/22/2021,1,26
Alishing,7/25/2021,1,27
Alishing,8/6/2021,1,28
Alishing,8/7/2021,1,29
Alishing,8/8/2021,1,30
Alishing,8/10/2021,1,31
Alishing,8/11/2021,1,32
Alishing,8/12/2021,1,33
Alishing,8/13/2021,1,34
Alishing,8/14/2021,1,35
Alishing,8/16/2021,1,36
Almar,5/11/2021,0,0
Almar,5/12/2021,0,1
Almar,6/7/2021,0,2
Almar,6/8/2021,0,3
Almar,6/12/2021,0,4
Almar,6/13/2021,0,5
Almar,6/14/2021,0,6
Almar,6/15/2021,0,7
Almar,6/20/2021,0,8
Almar,6/21/2021,0,9
Almar,6/23/2021,0,10
Almar,6/24/2021,0,11
Almar,6/25/2021,0,12
Almar,6/27/2021,0,13
Almar,6/29/2021,0,14
Almar,6/30/2021,0,15
Almar,7/3/2021,0,16
Almar,7/4/2021,0,17
Almar,7/5/2021,0,18
Almar,7/6/2021,0,19
Almar,7/10/2021,0,20
Almar,7/11/2021,0,21
Almar,7/12/2021,0,22
Almar,7/13/2021,0,23
