year,cluster,requirements,funding,percent_funded
2020.0,Food Security & Agriculture,370324820.0,163677002.0,0.44198226303060106
2020.0,Health,171090518.0,55199803.0,0.3226350802211026
2020.0,Multiple Sectors,0.0,36088839.0,inf
2020.0,Not Specified,0.0,160802158.0,inf
2020.0,Nutrition,114645207.0,35336020.0,0.3082206480729718
2020.0,Protection,91875589.0,60109712.0,0.6542511743788657
2020.0,"Water, Sanitation & Hygiene",152172398.0,22205556.0,0.1459236779589949
2021.0,Aviation,49700000.0,19257770.0,0.38748028169014087
2021.0,Coordination & Support Services,17960000.0,15222339.0,0.847568986636971
2021.0,Education In Emergencies,89248400.0,25784160.0,0.28890333047987415
2021.0,Emergency Shelter,120900000.0,47678332.0,0.39436172043010753
2021.0,Food Security & Agriculture,621300000.0,634357142.0,1.0210158409785932
2021.0,Health,184000000.0,183075029.0,0.9949729836956521
2021.0,Multiple Sectors,0.0,197865808.0,inf
2021.0,Not Specified,0.0,544961200.0,inf
2021.0,Nutrition,138378841.0,252931240.0,1.8278173033693785
2021.0,Protection,124740405.0,94097908.0,0.7543498676311016
2021.0,"Water, Sanitation & Hygiene",128700000.0,32899421.0,0.2556287567987568
2022.0,Aviation,85000000.0,11334190.0,0.13334341176470588
2022.0,Coordination & Support Services,25600000.0,37029168.0,1.446451875
2022.0,Education,162100000.0,190192842.0,1.1733056261566934
2022.0,Emergency Shelter,374000000.0,94689142.0,0.2531795240641711
2022.0,Food Security & Agriculture,2660000000.0,1061436464.0,0.39903626466165415
2022.0,Health,378000000.0,171899680.0,0.4547610582010582
2022.0,Multiple Sectors,0.0,239796770.0,inf
2022.0,Not Specified,0.0,185787196.0,inf
2022.0,Nutrition,287400000.0,203376724.0,0.707643437717467
2022.0,Protection,137300000.0,104429219.0,0.7605915440640932
2022.0,"Water, Sanitation & Hygiene",332800000.0,73187900.0,0.21991556490384614
