date,budgetYear,description,amountUSD,srcOrganization,srcOrganizationTypes,srcLocations,srcUsageYearStart,srcUsageYearEnd,destPlan,destPlanCode,destPlanId,destOrganization,destOrganizationTypes,destGlobalClusters,destLocations,destProject,destProjectCode,destEmergency,destUsageYearStart,destUsageYearEnd,contributionType,flowType,method,boundary,onBoundary,status,firstReportedDate,decisionDate,keywords,originalAmount,originalCurrency,exchangeRate,id,refCode,createdAt,updatedAt
#date,#date+year+budget,#description+notes,#value+funding+total+usd,#org+name+funder,#org+type+funder+list,#country+iso3+funder+list,#date+year+start+funder,#date+year+end+funder,#activity+appeal+name,#activity+appeal+id+external,#activity+appeal+id+fts_internal,#org+name+impl,#org+type+impl+list,#sector+cluster+name+list,#country+iso3+impl+list,#activity+project+name,#activity+project+code,#crisis+name,#date+year+start+impl,#date+year+end+impl,#financial+contribution+type,#financial+contribution+type,#financial+method,#financial+direction,#financial+direction+type,#status+text,#date+reported,#date+decision,#description+keywords,#value+funding+total,#value+funding+total+currency,#financial+fx,#activity+id+fts_internal,#activity+code,#date+created,#date+updated
2021-05-12,2021,"Basic health services and psychosocial assistance to IDPs (internal displaces people), returnees, und most vulnerable in the district of Kabul, Afghanistan",0,"Germany, Government of",Government,DEU,2021,2023,,,,Johanniter-Unfall-Hilfe e.V.,NGO,,AFG,,,,2021,2023,financial,Parked,Traditional aid,incoming,shared,commitment,2021-05-12,2021-05-12,Multiyear,0,EUR,0.826,231731,AA-S09 321.50 AFG 03/21,2021-05-13,2021-09-17
2021-05-12,2022,"Basic health services and psychosocial assistance to IDPs (internal displaces people), returnees, und most vulnerable in the district of Kabul, Afghanistan (2022 portion)",847458,"Germany, Government of",Government,DEU,2022,2022,,,,Johanniter-Unfall-Hilfe e.V.,NGO,"Health,Protection",AFG,,,,2022,2022,financial,Standard,Traditional aid,incoming,single,commitment,2021-05-12,2021-05-12,Multiyear,700000,EUR,0.826,231733,AA-S09 321.50 AFG 03/21,2021-08-21,2021-08-24
2021-05-12,2021,*****,0,"Germany, Government of",Government,DEU,2021,2023,,,,International NGOs (Confidential),NGO,,AFG,,,,2021,2023,financial,Parked,Traditional aid,incoming,shared,commitment,2021-05-12,2021-05-12,Multiyear,0,EUR,0.826,231742,AA-S09 321.50 AFG 02/21,2021-05-13,2021-10-19
2021-05-12,2022,"Food security and winter relief through multi-sector cash based assistance for IDPs, returnees and host communities in Kabul, Nangarhar, Balkh, Samangan and Jawzjan provinces, Afghanistan (2022 portion)",3144029,"Germany, Government of",Government,DEU,2022,2022,,,,,,"Emergency Shelter and NFI,Food Security,Water Sanitation Hygiene",AFG,,,,2022,2022,financial,Standard,Traditional aid,incoming,single,commitment,2021-05-12,2021-05-12,Multiyear,2596968,EUR,0.826,231744,AA-S09 321.50 AFG 02/21,2021-08-21,2021-08-24
2021-05-05,2021,"Protection, Coordination and Education Response to Armed Conflict and Displacement in Afghanistan",4358354,European Commission's Humanitarian Aid and Civil Protection Department,Inter-governmental,,2022,2022,Afghanistan Humanitarian Response Plan 2022,HAFG22,1100,International NGOs (Confidential),NGO,"Coordination and support services,Education,Protection",AFG,,,Afghanistan Complex Emergency August 2021,2022,2022,financial,Standard,Traditional aid,incoming,single,commitment,2022-05-03,2021-05-05,,3600000,EUR,0.826,251212,ECHO/-AS/BUD/2021/91011,2022-05-04,2022-06-22
2021-04-30,2021,"Providing life-saving health, nutrition and education in emergencies assistance for targeted population in Herat, Ghazni and Khost provinces.",2110199,European Commission's Humanitarian Aid and Civil Protection Department,Inter-governmental,,2022,2022,Afghanistan Humanitarian Response Plan 2022,HAFG22,1100,International NGOs (Confidential),NGO,"Education,Health,Nutrition",AFG,,,Afghanistan Complex Emergency August 2021,2022,2022,financial,Standard,Traditional aid,incoming,single,commitment,2022-05-31,2021-04-30,,1800000,EUR,0.853,253354,ECHO/-AS/BUD/2021/91008,2022-06-01,2022-06-22
2021-04-26,2021,Emergency WASH Response (ERM + AWD WASH) in Afghanistan,836320,European Commission's Humanitarian Aid and Civil Protection Department,Inter-governmental,,2021,2021,,,,Danish Committee for Aid to Afghan Refugees,NGO,"Other,Water Sanitation Hygiene",AFG,,,,2021,2023,financial,Standard,Traditional aid,incoming,shared,commitment,2022-09-05,2021-04-26,Multiyear,700000,EUR,0.837,258507,ECHO/-AS/BUD/2021/91007,2022-09-06,2022-10-21
2021-04-23,2021,Safeguarding food nutrition security using anticipatory actions through cash transfers and emergency agriculture livelihoods assistance to vulnerable food insecure households impacted by ongoing COVID-19 crisis and impacts of La Niña induced drought in IPC-3-4 and hard to reach areas of Afghanistan,9782609,European Commission's Humanitarian Aid and Civil Protection Department,Inter-governmental,,2022,2022,Afghanistan Humanitarian Response Plan 2022,HAFG22,1100,Food & Agriculture Organization of the United Nations,UN agency,Food Security,AFG,,,Afghanistan Complex Emergency August 2021,2022,2022,financial,Standard,Traditional aid,incoming,single,commitment,2022-05-31,2021-04-23,,9000000,EUR,0.92,253318,ECHO/-AS/BUD/2021/91006,2022-06-01,2022-06-22
2021-04-14,2021,Provision of lifesaving qualified health care in response to the humanitarian protracted crisis in Afghanistan,18464244,European Commission's Humanitarian Aid and Civil Protection Department,Inter-governmental,,2021,2021,,,,UN agencies and NGOs (Confidential),Other,Health,AFG,,,,2021,2023,financial,Standard,Traditional aid,incoming,shared,commitment,2021-04-16,2021-04-14,Multiyear,15750000,EUR,0.853,230194,ECHO/-AS/BUD/2021/91003,2021-12-07,2022-10-27
2021-03-05,2022,Emergency Project	Improving Accounting in Education Secror,53687,Oxfam International,NGO,,2021,2021,Afghanistan Humanitarian Response Plan 2022,HAFG22,1100,Children in Crisis,NGO,Education,AFG,,,,2022,2022,financial,Pass through,Traditional aid,incoming,single,paid,2022-01-23,2021-03-05,,,,,254005,,2022-06-15,2022-06-15
